No.,Crop ID,Crop Name,Plot Type,Planting Season,Yield_per_mu,Cost_per_mu,Selling Price (Yuan/Jin),Min_Price,Max_Price,Avg_Price
64,34,Celery,Irrigated Land,First Season,5500,900,3.20-4.80,3.2,4.8,4
65,17,Cowpea,Regular Greenhouse ,First Season,3600,2400,7.00-9.00,7,9,8
66,18,Sword Bean,Regular Greenhouse ,First Season,2400,1200,5.50-8.00,5.5,8,6.75
67,19,Kidney Bean,Regular Greenhouse ,First Season,3600,2400,5.00-8.00,5,8,6.5
68,20,Potato,Regular Greenhouse ,First Season,2400,2400,3.00-4.50,3,4.5,3.75
69,21,Tomato,Regular Greenhouse ,First Season,3000,2400,5.00-7.50,5,7.5,6.25
70,22,Eggplant,Regular Greenhouse ,First Season,8000,2400,5.00-6.00,5,6,5.5
71,23,Spinach ,Regular Greenhouse ,First Season,3300,2700,4.80-6.70,4.8,6.7,5.75
72,24,Green Pepper,Regular Greenhouse ,First Season,3000,2000,4.00-6.50,4,6.5,5.25
73,25,Cauliflower,Regular Greenhouse ,First Season,4000,3000,5.00-6.00,5,6,5.5
74,26,Cabbage,Regular Greenhouse ,First Season,4500,3500,5.50-7.50,5.5,7.5,6.5
75,27,Romaine Lettuce,Regular Greenhouse ,First Season,5000,2000,4.00-6.00,4,6,5
76,28,Baby Bok Choy,Regular Greenhouse ,First Season,4000,2000,5.00-6.50,5,6.5,5.75
77,29,Cucumber,Regular Greenhouse ,First Season,15000,3500,6.00-8.00,6,8,7
78,30,Lettuce ,Regular Greenhouse ,First Season,5000,2000,4.50-6.00,4.5,6,5.25
79,31,Chili Pepper,Regular Greenhouse ,First Season,2000,1200,6.00-8.50,6,8.5,7.25
80,32,Water Spinach,Regular Greenhouse ,First Season,12000,5000,3.00-6.00,3,6,4.5
81,33,Yellow Heart Cabbage,Regular Greenhouse ,First Season,6000,2500,4.00-5.00,4,5,4.5
82,34,Celery,Regular Greenhouse ,First Season,6600,1100,3.20-4.80,3.2,4.8,4
83,35,Chinese Cabbage,Irrigated Land,Second Season,5000,2000,2.00-3.00,2,3,2.5
84,36,White Radish,Irrigated Land,Second Season,4000,500,2.00-3.00,2,3,2.5
85,37,Red Radish,Irrigated Land,Second Season,3000,500,2.50-4.00,2.5,4,3.25
86,38,Golden Oyster Mushroom,Regular Greenhouse ,Second Season,5000,3000,50.00-65.00,50,65,57.5
87,39,Shiitake Mushroom,Regular Greenhouse ,Second Season,4000,2000,18.00-20.00,18,20,19
88,40,White Elf Mushroom,Regular Greenhouse ,Second Season,10000,10000,14.00-18.00,14,18,16
89,41,Morel Mushroom,Regular Greenhouse ,Second Season,1000,10000,80.00-120.00,80,120,100
90,17,Cowpea,Smart Greenhouse,Second Season,3200,2640,8.40-10.80,8.4,10.8,9.600000000000001
91,18,Sword Bean,Smart Greenhouse,Second Season,2200,1320,6.60-9.60,6.6,9.6,8.1
92,19,Kidney Bean,Smart Greenhouse,Second Season,3200,2640,6.00-9.60,6,9.6,7.8
93,20,Potato,Smart Greenhouse,Second Season,2200,2640,3.60-5.40,3.6,5.4,4.5
94,21,Tomato,Smart Greenhouse,Second Season,2700,2640,6.00-9.00,6,9,7.5
95,22,Eggplant,Smart Greenhouse,Second Season,7200,2640,6.00-7.20,6,7.2,6.6
96,23,Spinach ,Smart Greenhouse,Second Season,3000,3000,5.80-8.00,5.8,8,6.9
97,24,Green Pepper,Smart Greenhouse,Second Season,2700,2200,5.80-7.80,5.8,7.8,6.8
98,25,Cauliflower,Smart Greenhouse,Second Season,3600,3300,6.00-7.20,6,7.2,6.6
99,26,Cabbage,Smart Greenhouse,Second Season,4100,3850,6.60-9.00,6.6,9,7.8
100,27,Romaine Lettuce,Smart Greenhouse,Second Season,4500,2200,4.80-7.20,4.8,7.2,6
101,28,Baby Bok Choy,Smart Greenhouse,Second Season,3600,2200,6.00-7.80,6,7.8,6.9
102,29,Cucumber,Smart Greenhouse,Second Season,13500,3850,7.20-9.60,7.2,9.6,8.4
103,30,Lettuce ,Smart Greenhouse,Second Season,4500,2200,5.40-7.20,5.4,7.2,6.300000000000001
104,31,Chili Pepper,Smart Greenhouse,Second Season,1800,1300,7.20-10.20,7.2,10.2,8.7
105,32,Water Spinach,Smart Greenhouse,Second Season,11000,5500,3.60-7.20,3.6,7.2,5.4
106,33,Yellow Heart Cabbage,Smart Greenhouse,Second Season,5400,2750,4.80-6.00,4.8,6,5.4
107,34,Celery,Smart Greenhouse,Second Season,6000,1200,3.80-5.80,3.8,5.8,4.8
