No.,Crop ID,Crop Name,Plot Type,Planting Season,Yield_per_mu,Cost_per_mu,Selling Price (Yuan/Jin),Min_Price,Max_Price,Avg_Price,Profit_per_mu,Profit_per_jin,Profit_Rate,Revenue_Cost_Ratio,Sharpe_Ratio,Cluster,Class,Class_Final
13,13,Sweet Potato,Flat Dry Land,Single Season,2200,2000,2.50-4.00,2.5,4.0,3.25,5150.0,2.340909090909091,2.575,3.575,3433.3333333333335,2,3,12
14,14,Naked Oat,Flat Dry Land,Single Season,420,400,5.00-6.00,5.0,6.0,5.5,1910.0,4.5476190476190474,4.775,5.775,1910.0,2,3,12
15,15,Barley,Flat Dry Land,Single Season,525,350,3.00-4.00,3.0,4.0,3.5,1487.5,2.8333333333333335,4.25,5.25,1487.5,2,3,12
16,1,Soybean,Terraced Field,Single Season,380,400,2.50-4.00,2.5,4.0,3.25,835.0,2.197368421052632,2.0875,3.0875,556.6666666666666,2,3,12
17,2,Black Bean,Terraced Field,Single Season,475,400,6.50-8.50,6.5,8.5,7.5,3162.5,6.657894736842105,7.90625,8.90625,1581.25,2,3,12
18,3,Red Bean,Terraced Field,Single Season,380,350,7.50-9.00,7.5,9.0,8.25,2785.0,7.328947368421053,7.957142857142857,8.957142857142857,1856.6666666666667,2,3,12
19,4,Mung Bean,Terraced Field,Single Season,330,350,6.00-8.00,6.0,8.0,7.0,1960.0,5.9393939393939394,5.6,6.6,980.0,2,3,12
20,5,Climbing Bean,Terraced Field,Single Season,395,350,6.00-7.50,6.0,7.5,6.75,2316.25,5.863924050632911,6.617857142857143,7.617857142857143,1544.1666666666667,2,3,12
21,6,Wheat,Terraced Field,Single Season,760,450,3.00-4.00,3.0,4.0,3.5,2210.0,2.9078947368421053,4.911111111111111,5.911111111111111,2210.0,2,3,12
22,7,Corn,Terraced Field,Single Season,950,500,2.50-3.50,2.5,3.5,3.0,2350.0,2.473684210526316,4.7,5.7,2350.0,2,3,12
23,8,Millet,Terraced Field,Single Season,380,360,6.00-7.50,6.0,7.5,6.75,2205.0,5.802631578947368,6.125,7.125,1470.0,2,3,12
24,9,Sorghum,Terraced Field,Single Season,600,400,5.50-6.50,5.5,6.5,6.0,3200.0,5.333333333333333,8.0,9.0,3200.0,2,3,12
25,10,Broomcorn Millet,Terraced Field,Single Season,500,360,6.50-8.50,6.5,8.5,7.5,3390.0,6.78,9.416666666666666,10.416666666666666,1695.0,2,3,12
26,11,Buckwheat,Terraced Field,Single Season,105,350,30.00-50.00,30.0,50.0,40.0,3850.0,36.666666666666664,11.0,12.0,192.5,3,4,3
27,12,Pumpkin,Terraced Field,Single Season,2850,1000,1.00-2.00,1.0,2.0,1.5,3275.0,1.1491228070175439,3.275,4.275,3275.0,2,3,12
28,13,Sweet Potato,Terraced Field,Single Season,2100,2000,2.50-4.00,2.5,4.0,3.25,4825.0,2.2976190476190474,2.4125,3.4125,3216.6666666666665,2,3,12
29,14,Naked Oat,Terraced Field,Single Season,400,400,5.00-6.00,5.0,6.0,5.5,1800.0,4.5,4.5,5.5,1800.0,2,3,12
30,15,Barley,Terraced Field,Single Season,500,350,3.00-4.00,3.0,4.0,3.5,1400.0,2.8,4.0,5.0,1400.0,2,3,12
31,1,Soybean,Hillside Land,Single Season,360,400,2.50-4.00,2.5,4.0,3.25,770.0,2.138888888888889,1.925,2.925,513.3333333333334,2,3,12
32,2,Black Bean,Hillside Land,Single Season,450,400,6.50-8.50,6.5,8.5,7.5,2975.0,6.611111111111111,7.4375,8.4375,1487.5,2,3,12
33,3,Red Bean,Hillside Land,Single Season,360,350,7.50-9.00,7.5,9.0,8.25,2620.0,7.277777777777778,7.485714285714286,8.485714285714286,1746.6666666666667,2,3,12
34,4,Mung Bean,Hillside Land,Single Season,315,350,6.00-8.00,6.0,8.0,7.0,1855.0,5.888888888888889,5.3,6.3,927.5,2,3,12
35,5,Climbing Bean,Hillside Land,Single Season,375,350,6.00-7.50,6.0,7.5,6.75,2181.25,5.816666666666666,6.232142857142857,7.232142857142857,1454.1666666666667,2,3,12
36,6,Wheat,Hillside Land,Single Season,720,450,3.00-4.00,3.0,4.0,3.5,2070.0,2.875,4.6,5.6,2070.0,2,3,12
37,7,Corn,Hillside Land,Single Season,900,500,2.50-3.50,2.5,3.5,3.0,2200.0,2.4444444444444446,4.4,5.4,2200.0,2,3,12
38,8,Millet,Hillside Land,Single Season,360,360,6.00-7.50,6.0,7.5,6.75,2070.0,5.75,5.75,6.75,1380.0,2,3,12
39,9,Sorghum,Hillside Land,Single Season,570,400,5.50-6.50,5.5,6.5,6.0,3020.0,5.298245614035087,7.55,8.55,3020.0,2,3,12
40,10,Broomcorn Millet,Hillside Land,Single Season,475,360,6.50-8.50,6.5,8.5,7.5,3202.5,6.742105263157895,8.895833333333334,9.895833333333334,1601.25,2,3,12
41,11,Buckwheat,Hillside Land,Single Season,100,350,30.00-50.00,30.0,50.0,40.0,3650.0,36.5,10.428571428571429,11.428571428571429,182.5,3,4,3
42,12,Pumpkin,Hillside Land,Single Season,2700,1000,1.00-2.00,1.0,2.0,1.5,3050.0,1.1296296296296298,3.05,4.05,3050.0,2,3,12
43,13,Sweet Potato,Hillside Land,Single Season,2000,2000,2.50-4.00,2.5,4.0,3.25,4500.0,2.25,2.25,3.25,3000.0,2,3,12
44,14,Naked Oat,Hillside Land,Single Season,380,400,5.00-6.00,5.0,6.0,5.5,1690.0,4.447368421052632,4.225,5.225,1690.0,2,3,12
45,15,Barley,Hillside Land,Single Season,475,350,3.00-4.00,3.0,4.0,3.5,1312.5,2.763157894736842,3.75,4.75,1312.5,2,3,12
46,16,Rice,Irrigated Land,Single Season,500,680,6.00-8.00,6.0,8.0,7.0,2820.0,5.64,4.147058823529412,5.147058823529412,1410.0,2,3,12
47,17,Cowpea,Irrigated Land,First Season,3000,2000,7.00-9.00,7.0,9.0,8.0,22000.0,7.333333333333333,11.0,12.0,11000.0,2,3,12
48,18,Sword Bean,Irrigated Land,First Season,2000,1000,5.50-8.00,5.5,8.0,6.75,12500.0,6.25,12.5,13.5,5000.0,2,3,12
49,19,Kidney Bean,Irrigated Land,First Season,3000,2000,5.00-8.00,5.0,8.0,6.5,17500.0,5.833333333333333,8.75,9.75,5833.333333333333,2,3,12
50,20,Potato,Irrigated Land,First Season,2000,2000,3.00-4.50,3.0,4.5,3.75,5500.0,2.75,2.75,3.75,3666.6666666666665,2,3,12
51,21,Tomato,Irrigated Land,First Season,2400,2000,5.00-7.50,5.0,7.5,6.25,13000.0,5.416666666666667,6.5,7.5,5200.0,2,3,12
52,22,Eggplant,Irrigated Land,First Season,6400,2000,5.00-6.00,5.0,6.0,5.5,33200.0,5.1875,16.6,17.6,33200.0,2,3,12
53,23,Spinach ,Irrigated Land,First Season,2700,2300,4.80-6.70,4.8,6.7,5.75,13225.0,4.898148148148148,5.75,6.75,6960.526315789472,2,3,12
54,24,Green Pepper,Irrigated Land,First Season,2400,1600,4.00-6.50,4.0,6.5,5.25,11000.0,4.583333333333333,6.875,7.875,4400.0,2,3,12
55,25,Cauliflower,Irrigated Land,First Season,3300,2400,5.00-6.00,5.0,6.0,5.5,15750.0,4.7727272727272725,6.5625,7.5625,15750.0,2,3,12
56,26,Cabbage,Irrigated Land,First Season,3700,2900,5.50-7.50,5.5,7.5,6.5,21150.0,5.716216216216216,7.293103448275862,8.293103448275861,10575.0,2,3,12
57,27,Romaine Lettuce,Irrigated Land,First Season,4100,1600,4.00-6.00,4.0,6.0,5.0,18900.0,4.609756097560975,11.8125,12.8125,9450.0,2,3,12
58,28,Baby Bok Choy,Irrigated Land,First Season,3200,1600,5.00-6.50,5.0,6.5,5.75,16800.0,5.25,10.5,11.5,11200.0,2,3,12
59,29,Cucumber,Irrigated Land,First Season,12000,2900,6.00-8.00,6.0,8.0,7.0,81100.0,6.758333333333334,27.96551724137931,28.96551724137931,40550.0,1,2,11
60,30,Lettuce ,Irrigated Land,First Season,4100,1600,4.50-6.00,4.5,6.0,5.25,19925.0,4.859756097560975,12.453125,13.453125,13283.333333333334,2,3,12
61,31,Chili Pepper,Irrigated Land,First Season,1600,1000,6.00-8.50,6.0,8.5,7.25,10600.0,6.625,10.6,11.6,4240.0,2,3,12
62,32,Water Spinach,Irrigated Land,First Season,10000,4100,3.00-6.00,3.0,6.0,4.5,40900.0,4.09,9.975609756097562,10.975609756097562,13633.333333333334,2,3,12
63,33,Yellow Heart Cabbage,Irrigated Land,First Season,5000,2000,4.00-5.00,4.0,5.0,4.5,20500.0,4.1,10.25,11.25,20500.0,2,3,12
64,34,Celery,Irrigated Land,First Season,5500,900,3.20-4.80,3.2,4.8,4.0,21100.0,3.8363636363636364,23.444444444444443,24.444444444444443,13187.500000000004,2,3,12
65,17,Cowpea,Regular Greenhouse ,First Season,3600,2400,7.00-9.00,7.0,9.0,8.0,26400.0,7.333333333333333,11.0,12.0,13200.0,2,3,12
66,18,Sword Bean,Regular Greenhouse ,First Season,2400,1200,5.50-8.00,5.5,8.0,6.75,15000.0,6.25,12.5,13.5,6000.0,2,3,12
67,19,Kidney Bean,Regular Greenhouse ,First Season,3600,2400,5.00-8.00,5.0,8.0,6.5,21000.0,5.833333333333333,8.75,9.75,7000.0,2,3,12
68,20,Potato,Regular Greenhouse ,First Season,2400,2400,3.00-4.50,3.0,4.5,3.75,6600.0,2.75,2.75,3.75,4400.0,2,3,12
69,21,Tomato,Regular Greenhouse ,First Season,3000,2400,5.00-7.50,5.0,7.5,6.25,16350.0,5.45,6.8125,7.8125,6540.0,2,3,12
70,22,Eggplant,Regular Greenhouse ,First Season,8000,2400,5.00-6.00,5.0,6.0,5.5,41600.0,5.2,17.333333333333332,18.333333333333332,41600.0,2,3,12
71,23,Spinach ,Regular Greenhouse ,First Season,3300,2700,4.80-6.70,4.8,6.7,5.75,16275.0,4.931818181818182,6.027777777777778,7.027777777777778,8565.789473684208,2,3,12
72,24,Green Pepper,Regular Greenhouse ,First Season,3000,2000,4.00-6.50,4.0,6.5,5.25,13750.0,4.583333333333333,6.875,7.875,5500.0,2,3,12
73,25,Cauliflower,Regular Greenhouse ,First Season,4000,3000,5.00-6.00,5.0,6.0,5.5,19000.0,4.75,6.333333333333333,7.333333333333333,19000.0,2,3,12
74,26,Cabbage,Regular Greenhouse ,First Season,4500,3500,5.50-7.50,5.5,7.5,6.5,25750.0,5.722222222222222,7.357142857142857,8.357142857142858,12875.0,2,3,12
75,27,Romaine Lettuce,Regular Greenhouse ,First Season,5000,2000,4.00-6.00,4.0,6.0,5.0,23000.0,4.6,11.5,12.5,11500.0,2,3,12
76,28,Baby Bok Choy,Regular Greenhouse ,First Season,4000,2000,5.00-6.50,5.0,6.5,5.75,21000.0,5.25,10.5,11.5,14000.0,2,3,12
77,29,Cucumber,Regular Greenhouse ,First Season,15000,3500,6.00-8.00,6.0,8.0,7.0,101500.0,6.766666666666667,29.0,30.0,50750.0,1,2,11
78,30,Lettuce ,Regular Greenhouse ,First Season,5000,2000,4.50-6.00,4.5,6.0,5.25,24250.0,4.85,12.125,13.125,16166.666666666666,2,3,12
79,31,Chili Pepper,Regular Greenhouse ,First Season,2000,1200,6.00-8.50,6.0,8.5,7.25,13300.0,6.65,11.083333333333334,12.083333333333334,5320.0,2,3,12
80,32,Water Spinach,Regular Greenhouse ,First Season,12000,5000,3.00-6.00,3.0,6.0,4.5,49000.0,4.083333333333333,9.8,10.8,16333.333333333334,2,3,12
81,33,Yellow Heart Cabbage,Regular Greenhouse ,First Season,6000,2500,4.00-5.00,4.0,5.0,4.5,24500.0,4.083333333333333,9.8,10.8,24500.0,2,3,12
82,34,Celery,Regular Greenhouse ,First Season,6600,1100,3.20-4.80,3.2,4.8,4.0,25300.0,3.8333333333333335,23.0,24.0,15812.500000000004,2,3,12
83,35,Chinese Cabbage,Irrigated Land,Second Season,5000,2000,2.00-3.00,2.0,3.0,2.5,10500.0,2.1,5.25,6.25,10500.0,2,3,12
84,36,White Radish,Irrigated Land,Second Season,4000,500,2.00-3.00,2.0,3.0,2.5,9500.0,2.375,19.0,20.0,9500.0,2,3,12
85,37,Red Radish,Irrigated Land,Second Season,3000,500,2.50-4.00,2.5,4.0,3.25,9250.0,3.0833333333333335,18.5,19.5,6166.666666666667,2,3,12
86,38,Golden Oyster Mushroom,Regular Greenhouse ,Second Season,5000,3000,50.00-65.00,50.0,65.0,57.5,284500.0,56.9,94.83333333333333,95.83333333333333,18966.666666666668,4,1,1
87,39,Shiitake Mushroom,Regular Greenhouse ,Second Season,4000,2000,18.00-20.00,18.0,20.0,19.0,74000.0,18.5,37.0,38.0,37000.0,1,2,11
88,40,White Elf Mushroom,Regular Greenhouse ,Second Season,10000,10000,14.00-18.00,14.0,18.0,16.0,150000.0,15.0,15.0,16.0,37500.0,1,2,11
89,41,Morel Mushroom,Regular Greenhouse ,Second Season,1000,10000,80.00-120.00,80.0,120.0,100.0,90000.0,90.0,9.0,10.0,2250.0,4,1,1
90,17,Cowpea,Smart Greenhouse,Second Season,3200,2640,8.40-10.80,8.4,10.8,9.6,28080.0,8.775,10.636363636363637,11.636363636363637,11699.999999999998,2,3,12
91,18,Sword Bean,Smart Greenhouse,Second Season,2200,1320,6.60-9.60,6.6,9.6,8.1,16500.0,7.5,12.5,13.5,5500.0,2,3,12
92,19,Kidney Bean,Smart Greenhouse,Second Season,3200,2640,6.00-9.60,6.0,9.6,7.8,22320.0,6.975,8.454545454545455,9.454545454545455,6200.000000000001,2,3,12
93,20,Potato,Smart Greenhouse,Second Season,2200,2640,3.60-5.40,3.6,5.4,4.5,7260.0,3.3,2.75,3.75,4033.3333333333326,2,3,12
94,21,Tomato,Smart Greenhouse,Second Season,2700,2640,6.00-9.00,6.0,9.0,7.5,17610.0,6.522222222222222,6.670454545454546,7.670454545454546,5870.0,2,3,12
95,22,Eggplant,Smart Greenhouse,Second Season,7200,2640,6.00-7.20,6.0,7.2,6.6,44880.0,6.233333333333333,17.0,18.0,37399.99999999999,2,3,12
96,23,Spinach ,Smart Greenhouse,Second Season,3000,3000,5.80-8.00,5.8,8.0,6.9,17700.0,5.9,5.9,6.9,8045.454545454545,2,3,12
97,24,Green Pepper,Smart Greenhouse,Second Season,2700,2200,5.80-7.80,5.8,7.8,6.8,16160.0,5.985185185185185,7.345454545454546,8.345454545454546,8080.0,2,3,12
98,25,Cauliflower,Smart Greenhouse,Second Season,3600,3300,6.00-7.20,6.0,7.2,6.6,20460.0,5.683333333333333,6.2,7.2,17049.999999999996,2,3,12
99,26,Cabbage,Smart Greenhouse,Second Season,4100,3850,6.60-9.00,6.6,9.0,7.8,28130.0,6.860975609756098,7.306493506493506,8.306493506493506,11720.833333333332,2,3,12
100,27,Romaine Lettuce,Smart Greenhouse,Second Season,4500,2200,4.80-7.20,4.8,7.2,6.0,24800.0,5.511111111111111,11.272727272727273,12.272727272727273,10333.333333333332,2,3,12
101,28,Baby Bok Choy,Smart Greenhouse,Second Season,3600,2200,6.00-7.80,6.0,7.8,6.9,22640.0,6.28888888888889,10.290909090909091,11.290909090909091,12577.77777777778,2,3,12
102,29,Cucumber,Smart Greenhouse,Second Season,13500,3850,7.20-9.60,7.2,9.6,8.4,109550.0,8.114814814814816,28.454545454545453,29.454545454545453,45645.83333333334,1,2,11
103,30,Lettuce ,Smart Greenhouse,Second Season,4500,2200,5.40-7.20,5.4,7.2,6.300000000000001,26150.000000000004,5.811111111111112,11.886363636363638,12.886363636363638,14527.777777777781,2,3,12
104,31,Chili Pepper,Smart Greenhouse,Second Season,1800,1300,7.20-10.20,7.2,10.2,8.7,14359.999999999998,7.977777777777777,11.046153846153844,12.046153846153844,4786.666666666668,2,3,12
105,32,Water Spinach,Smart Greenhouse,Second Season,11000,5500,3.60-7.20,3.6,7.2,5.4,53900.00000000001,4.9,9.8,10.8,14972.222222222224,2,3,12
106,33,Yellow Heart Cabbage,Smart Greenhouse,Second Season,5400,2750,4.80-6.00,4.8,6.0,5.4,26410.000000000004,4.890740740740741,9.603636363636365,10.603636363636365,22008.333333333332,2,3,12
107,34,Celery,Smart Greenhouse,Second Season,6000,1200,3.80-5.80,3.8,5.8,4.8,27600.0,4.6,23.0,24.0,13800.0,2,3,12
